Best Fit,X Values
"[2730, 4200]","[12, 0, 25, 3, 16]"
"[3092, 5560]","[9, 7, 17, 3, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[2690, 3835]","[9, 0, 25, 4, 21]"
"[2455, 3500]","[0, 5, 25, 0, 30]"
"[2675, 4110]","[13, 0, 25, 0, 18]"
"[2777, 4940]","[6, 7, 14, 4, 30]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[3311, 5470]","[7, 6, 25, 4, 30]"
"[2620, 3650]","[10, 0, 20, 2, 30]"
"[3293, 5970]","[7, 8, 25, 4, 22]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[2785, 5510]","[12, 5, 25, 3, 0]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2640, 3910]","[12, 0, 15, 4, 30]"
"[2836, 4810]","[6, 6, 17, 4, 30]"
"[2726, 4110]","[0, 6, 25, 3, 30]"
"[3175, 5140]","[8, 5, 25, 2, 30]"
"[3104, 5270]","[12, 4, 17, 4, 30]"
"[2380, 4470]","[0, 10, 12, 2, 30]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[2669, 4270]","[7, 4, 17, 3, 30]"
"[2690, 5110]","[0, 10, 25, 3, 14]"
"[2864, 5050]","[14, 4, 14, 0, 30]"
"[2757, 4320]","[0, 7, 25, 2, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2226, 3630]","[0, 6, 19, 3, 22]"
